tipo;unidade_medida;latitude;longitude;localizacao;responsavel;status_operacional;observacao;mac_address
Temperatura;°C;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141396;-47,0681575;A111-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141236;-47,0681981;A113-Laboratório de Eletrônica;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,9141585;-47,0681317;A109-Laboratório de CLP;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Umidade;%;-22,914118;-47,0681733;A107-Laboratório de Eletrônica ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,914102;-47,0681967;A105-Laboratório de Informática ;Isabela - Murilo - Emmanuele - Kamila - Maria Luiza;True;;
Temperatura;°C;-22,9141971;-47,0683788;A104-Laboratório de Robótica;Isabela e Murilo;True;;
Umidade;%;-22,9141971;-47,0683788;A104-Laboratório de Robótica;Isabela e Murilo;True;;
Temperatura;°C;-22,9142363;-47,0682188;B201;Isabela e Murilo;True;;
Temperatura;°C;-22,9142706;-47,0682547;B203;Isabela e Murilo;True;;
Temperatura;°C;-22,91478;-47,06828;Sala Docentes;Nick e Hemmily;True;;
Luminosidade;Lux;-22,914722;-47,06826;Sala OOP(Alex);Nick e Hemmily;True;;
Temperatura;°C;-22,914707;-47,068333;B108 Lab de Projetos;Nick - Hemmily - Vitoria - Manuelly;True;;
Temperatura;°C;-22,91443;-47,06856;B104;Nick - Hemmily - Isa Marques - Ju Verneck - Maria Eduarda;True;;
Temperatura;°C;-22,914342;-47,068688;B213;Nick - Hemmily - Vitoria - Manuelly;True;;
Luminosidade;Lux;-22,9142419;-47,0685102;Espaço Cultural;Layra e Marcela;True;;
Contador;;-22,9142978;-47,068584;Espaço Mix (APM);Layra - Marcela - Ana Luiza - Isa Leite;True;;
Contador;;-22,9142786;-47,0687305;Estacionamento;Layra e Marcela;True;;
Contador;;-22,914277;-47,068259;B106 Laboratório Meteologia; Isa Marques - Ju Verneck - Maria Eduarda;True;;
Contador;;-22,91481;-47,067327;Estacionamento Superior; Ana Luiza - Isa Leite;True;;
Umidade;%;-22,9114389;-47,067644;Arvore 4 - Ficheira; Ana Luiza - Isa Leite;True;;
Temperatura;°C;-22,914927;-47,067913;Meio estacionamento; Ana Luiza - Isa Leite;True;;
Contador;;-22,914076;-47,068552;Entrada Estacionamento Superior; Ana Luiza - Isa Leite;True;;
Contador;;-22,91402;-47,068069;Entrada Manutenção; Ana Luiza - Isa Leite;True;;
Contador;;-22,9143244;-47,0682736;Auditorio Porta do Palco;Betman - Lira - Daniel - Igor;True;;
Contador;;-22,9144445;-47,0681991;Auditorio Porta do Público;Betman - Lira - Daniel - Igor;True;;
